"importer_iso3c","exporter_iso3c","hs6","product_weight_t","dom_source","source_country_iso3c","sciname","habitat","method","live_weight_t","hs_version","year","nativity"
"DEU","BGR",30549,0.13821204524339,"domestic","BGR","ictalurus punctatus","inland","capture",0.433755468655505,"HS02",2004,"invasive"
"GRC","BGR",30269,0.151337299163391,"domestic","BGR","ictalurus punctatus","inland","capture",0.172804775303976,"HS02",2004,"invasive"
"JPN","BGR",30379,1.65275473593478,"domestic","BGR","ictalurus punctatus","inland","capture",2.21024162186356,"HS02",2004,"invasive"
"MKD","BGR",30110,0.566566569057846,"domestic","BGR","ictalurus punctatus","inland","capture",0.566566569057846,"HS02",2004,"invasive"
"MKD","BGR",30199,0.987995270921501,"domestic","BGR","ictalurus punctatus","inland","capture",0.987995270921501,"HS02",2004,"invasive"
"ROU","BGR",30569,1.26672076627664,"domestic","BGR","ictalurus punctatus","inland","capture",2.31303211922114,"HS02",2004,"invasive"
"BEL","USA",30379,0.357908144530536,"domestic","USA","ictalurus punctatus","inland","capture",0.47863331482026,"HS02",2004,"native"
"BHS","USA",30110,0.11895340872723,"domestic","USA","ictalurus punctatus","inland","capture",0.11895340872723,"HS02",2004,"native"
"BHS","USA",30199,0.101406318011141,"domestic","USA","ictalurus punctatus","inland","capture",0.101406318011141,"HS02",2004,"native"
"BLR","USA",30379,0.133040535466418,"domestic","USA","ictalurus punctatus","inland","capture",0.177916131467976,"HS02",2004,"native"
"CAN","USA",30110,1.5525675231111,"domestic","USA","ictalurus punctatus","inland","capture",1.5525675231111,"HS02",2004,"native"
"CAN","USA",30199,2.84439501231999,"domestic","USA","ictalurus punctatus","inland","capture",2.84439501231999,"HS02",2004,"native"
"CAN","USA",30269,35.8941495164904,"domestic","USA","ictalurus punctatus","inland","capture",40.9858010960518,"HS02",2004,"native"
"CAN","USA",30379,0.940441394455151,"domestic","USA","ictalurus punctatus","inland","capture",1.25765951096945,"HS02",2004,"native"
"CAN","USA",160419,1.19840155956574,"domestic","USA","ictalurus punctatus","inland","capture",2.26138374290055,"HS02",2004,"native"
"CHN","USA",30110,0.54475663332649,"domestic","USA","ictalurus punctatus","inland","capture",0.54475663332649,"HS02",2004,"native"
"CHN","USA",30379,8.32089096221314,"domestic","USA","ictalurus punctatus","inland","capture",11.1275914906212,"HS02",2004,"native"
"CHN","USA",160419,0.382950884630749,"domestic","USA","ictalurus punctatus","inland","capture",0.722628319298223,"HS02",2004,"native"
"DEU","USA",30110,0.119694617433915,"domestic","USA","ictalurus punctatus","inland","capture",0.119694617433915,"HS02",2004,"native"
