"source_country_iso3c","exporter_iso3c","consumer_iso3c","consumption_source","sciname","sciname_hs_modified","habitat","method","end_use","consumption_live_t","consumption_live_t_capped","consumption_percap_live_kg","consumption_percap_live_kg_capped","hs_version","year"
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2011
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2011
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2012
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2012
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2012
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2012
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2012
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2012
"ATG","ATG",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"USA","USA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","SWE",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","DEU",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","FRA",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","NLD",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","GBR",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","DEU",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","NLD",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","GBR",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","NLD",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","BEL",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","DEU",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","ESP",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","ESP",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","ESP",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","GBR",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","ESP",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
"FRA","ESP",NA,NA,"pterois volitans",NA,"marine","capture",NA,NA,NA,NA,NA,"HS02",2013
